Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,47.230000,48.369999,46.669998,47.880001,47.498447,10970400
2018-12-11,48.570000,48.860001,47.720001,48.200001,47.815895,12474100
2018-12-12,49.049999,50.220001,48.419998,48.450001,48.063904,11453600
2018-12-13,48.750000,49.259998,47.720001,48.509998,48.123425,7755200
2018-12-14,47.470001,48.450001,46.970001,47.750000,47.369484,7161400
2018-12-17,47.599998,48.419998,46.639999,47.080002,46.704823,10065000
2018-12-18,47.750000,47.849998,46.779999,47.320000,46.942909,8776100
2018-12-19,47.330002,48.119999,45.860001,46.330002,45.960800,8362900
2018-12-20,46.180000,47.730000,45.930000,47.049999,46.675060,9849400
2018-12-21,47.619999,47.959999,44.959999,45.849998,45.484623,19308900
2018-12-24,45.349998,46.290001,43.919998,43.990002,43.639446,6869900
2018-12-26,44.430000,46.450001,43.709999,46.419998,46.050079,12028600
2018-12-27,45.709999,47.060001,45.209999,47.040001,46.665142,7529400
2018-12-28,47.320000,47.590000,46.099998,46.799999,46.427052,5783800
2018-12-31,47.040001,47.320000,46.009998,46.570000,46.198887,7789600
2019-01-02,45.250000,47.509998,45.139999,47.029999,46.655220,7245700
2019-01-03,46.439999,46.650002,45.000000,45.360001,44.998528,8266400
2019-01-04,46.000000,47.549999,45.130001,47.169998,46.794102,9081900
2019-01-07,47.240002,49.080002,47.090000,48.500000,48.113506,9112100
2019-01-08,49.070000,51.110001,49.000000,49.970001,49.571793,12428700
2019-01-09,50.369999,51.410000,49.910000,50.830002,50.424938,7768800
2019-01-10,50.500000,51.490002,50.090000,51.349998,50.940792,6416900
2019-01-11,46.380001,46.840000,44.470001,46.540001,46.169125,35424600
2019-01-14,46.070000,47.680000,45.820000,47.290001,46.913147,10183300
2019-01-15,47.330002,47.889999,46.619999,46.840000,46.466736,8190900
2019-01-16,46.759998,47.380001,45.860001,47.130001,46.754425,9299800
2019-01-17,46.950001,47.630001,46.410000,47.380001,47.002430,7828700
2019-01-18,47.889999,49.320000,47.840000,48.650002,48.262310,10563500
2019-01-22,48.169998,48.169998,46.820000,47.060001,46.684982,8415900
2019-01-23,47.320000,47.439999,45.630001,46.020000,45.653267,8951300
2019-01-24,45.939999,47.400002,45.889999,47.270000,46.893307,6007000
2019-01-25,47.860001,48.389999,47.090000,47.799999,47.419083,6175400
2019-01-28,47.000000,47.220001,45.959999,46.740002,46.367531,8807100
2019-01-29,46.360001,46.470001,45.230000,45.730000,45.365578,7722300
2019-01-30,46.180000,46.320000,45.500000,46.310001,45.940960,8679600
2019-01-31,46.459999,47.490002,45.980000,47.240002,46.863548,10060300
2019-02-01,47.189999,47.490002,45.509998,46.009998,45.643345,16662300
2019-02-04,46.320000,47.029999,46.070000,46.779999,46.407211,10635000
2019-02-05,46.930000,48.090000,46.610001,47.840000,47.458763,8673300
2019-02-06,45.000000,45.000000,42.529999,43.000000,42.657333,34619600
2019-02-07,43.209999,44.330002,43.049999,43.959999,43.609684,17457000
2019-02-08,43.779999,43.930000,42.880001,43.410000,43.064068,19275200
2019-02-11,43.799999,43.799999,39.849998,40.110001,39.790367,44932400
2019-02-12,40.340000,42.240002,40.110001,41.669998,41.337933,33515100
2019-02-13,42.930000,45.330002,42.840000,44.570000,44.214825,51708900
2019-02-14,44.090000,46.590000,43.790001,45.430000,45.067970,22540100
2019-02-15,45.470001,45.599998,44.139999,44.599998,44.244583,17152500
2019-02-19,44.450001,44.790001,43.500000,44.480000,44.125542,17261600
2019-02-20,44.669998,45.560001,42.480000,42.779999,42.439087,21193200
2019-02-21,42.700001,42.860001,41.669998,41.900002,41.566101,16645300
2019-02-22,42.000000,42.250000,41.250000,41.500000,41.169289,13074700
2019-02-25,41.820000,42.209999,41.000000,41.959999,41.625622,12317100
2019-02-26,41.820000,42.680000,41.720001,42.080002,41.744667,9194200
2019-02-27,42.060001,42.360001,41.610001,41.790001,41.456978,8494200
2019-02-28,41.779999,42.349998,41.669998,42.139999,41.804188,12255200
2019-03-01,42.599998,43.180000,42.180000,42.840000,42.498611,9422400
2019-03-04,43.060001,43.250000,41.310001,41.790001,41.456978,12128500
2019-03-05,41.840000,42.000000,41.049999,41.880001,41.546261,7536600
2019-03-06,41.950001,42.860001,41.860001,42.560001,42.220840,12535200
2019-03-07,42.430000,42.470001,41.180000,41.419998,41.089924,10470600
2019-03-08,41.009998,42.119999,40.889999,42.029999,41.695065,8735200
2019-03-11,42.230000,43.099998,41.990002,42.919998,42.577969,9451100
2019-03-12,43.070000,43.150002,42.560001,42.630001,42.290283,6474800
2019-03-13,42.830002,43.950001,42.570000,43.700001,43.351757,7774200
2019-03-14,43.730000,43.930000,43.230000,43.320000,42.974785,7324700
2019-03-15,44.020000,45.110001,43.910000,44.630001,44.274345,20494100
2019-03-18,44.930000,45.160000,44.119999,44.970001,44.611637,11344600
2019-03-19,45.610001,47.299999,45.290001,46.419998,46.050079,16098900
2019-03-20,46.369999,47.090000,46.130001,46.160000,45.792152,14270400
2019-03-21,46.080002,48.830002,45.900002,48.599998,48.212708,13972900
2019-03-22,48.310001,48.450001,46.279999,46.869999,46.496494,11117700
2019-03-25,46.750000,47.549999,46.419998,46.980000,46.605618,6976900
2019-03-26,47.279999,47.880001,45.959999,46.430000,46.060001,9712000
2019-03-27,46.290001,46.290001,45.240002,45.520000,45.520000,7813600
2019-03-28,45.340000,45.709999,44.869999,45.619999,45.619999,8347800
2019-03-29,46.180000,46.369999,45.009998,45.529999,45.529999,6643600
2019-04-01,46.500000,47.310001,46.160000,47.119999,47.119999,9233400
2019-04-02,47.419998,47.779999,46.200001,47.459999,47.459999,9697700
2019-04-03,47.750000,48.599998,47.400002,47.650002,47.650002,9741800
2019-04-04,47.680000,47.820000,46.580002,46.959999,46.959999,6941800
2019-04-05,47.080002,47.540001,46.680000,47.290001,47.290001,5976900
2019-04-08,47.230000,47.630001,46.369999,47.570000,47.570000,5563800
2019-04-09,47.189999,47.650002,46.849998,47.009998,47.009998,5090900
2019-04-10,47.340000,47.959999,47.150002,47.860001,47.860001,3548000
2019-04-11,48.060001,48.240002,46.860001,47.169998,47.169998,5198500
2019-04-12,47.400002,47.680000,46.939999,47.279999,47.279999,3802100
2019-04-15,47.270000,47.570000,45.639999,45.750000,45.750000,7343500
2019-04-16,45.950001,45.950001,44.740002,45.060001,45.060001,9742200
2019-04-17,45.169998,45.340000,43.959999,44.980000,44.980000,6663100
2019-04-18,45.180000,45.590000,44.650002,45.310001,45.310001,4582700
2019-04-22,45.240002,45.529999,44.700001,45.340000,45.340000,4229300
2019-04-23,45.599998,46.759998,45.470001,46.509998,46.509998,6263400
2019-04-24,46.450001,46.889999,46.040001,46.750000,46.750000,5327800
2019-04-25,46.660000,47.459999,46.139999,47.410000,47.410000,7637100
2019-04-26,47.480000,48.480000,47.299999,48.150002,48.150002,6233200
2019-04-29,48.430000,48.980000,48.220001,48.400002,48.400002,7098200
2019-04-30,48.410000,48.650002,47.779999,48.209999,48.209999,6906400
2019-05-01,48.349998,49.560001,48.240002,48.560001,48.560001,9474500
2019-05-02,48.779999,49.830002,48.720001,49.549999,49.549999,13565600
2019-05-03,48.200001,48.669998,46.160000,47.150002,47.150002,25671000
2019-05-06,46.029999,48.200001,46.000000,48.160000,48.160000,10300500
2019-05-07,47.709999,47.970001,46.349998,46.680000,46.680000,7918500
2019-05-08,47.049999,47.320000,46.400002,46.820000,46.820000,9392500
2019-05-09,46.139999,47.040001,45.700001,46.639999,46.639999,7115400
2019-05-10,46.560001,46.630001,43.520000,46.020000,46.020000,5415400
2019-05-13,44.730000,45.130001,43.169998,43.410000,43.410000,9803000
2019-05-14,43.700001,45.180000,43.380001,44.700001,44.700001,7171500
2019-05-15,44.490002,46.520000,44.430000,46.279999,46.279999,6965600
2019-05-16,46.270000,47.320000,45.820000,47.290001,47.290001,5798700
2019-05-17,46.810001,47.369999,46.299999,46.389999,46.389999,4280800
2019-05-20,45.650002,45.650002,43.330002,43.610001,43.610001,9204200
2019-05-21,43.970001,44.060001,43.400002,43.450001,43.450001,8279600
2019-05-22,42.939999,43.639999,42.830002,42.910000,42.910000,7222900
2019-05-23,42.430000,42.790001,41.950001,42.189999,42.189999,7390000
2019-05-24,42.459999,42.779999,41.840000,42.290001,42.290001,5076100
2019-05-28,43.759998,44.700001,43.279999,43.509998,43.509998,12150000
2019-05-29,43.200001,44.160000,42.840000,43.990002,43.990002,9134300
2019-05-30,44.040001,44.480000,43.160000,43.560001,43.560001,5552900
2019-05-31,43.110001,43.779999,43.009998,43.369999,43.369999,5978700
2019-06-03,43.320000,43.389999,42.099998,42.380001,42.380001,6711100
2019-06-04,42.980000,43.639999,42.250000,43.610001,43.610001,7621500
2019-06-05,43.770000,44.680000,43.490002,44.520000,44.520000,5768800
2019-06-06,44.150002,44.740002,43.700001,44.080002,44.080002,4699000
2019-06-07,44.279999,45.630001,44.060001,45.380001,45.380001,6785800
2019-06-10,45.770000,46.470001,45.200001,46.009998,46.009998,6405400
2019-06-11,46.490002,47.060001,46.189999,46.700001,46.700001,6679700
2019-06-12,46.459999,46.529999,44.970001,45.090000,45.090000,6155400
2019-06-13,45.450001,46.110001,45.080002,46.049999,46.049999,6204700
2019-06-14,45.799999,45.959999,45.119999,45.619999,45.619999,4629400
2019-06-17,45.700001,45.950001,45.000000,45.070000,45.070000,7710000
2019-06-18,45.549999,46.480000,45.330002,45.770000,45.770000,6839000
2019-06-19,45.770000,45.770000,44.590000,45.330002,45.330002,5441900
2019-06-20,45.990002,46.330002,45.450001,45.669998,45.669998,4574600
2019-06-21,45.529999,45.939999,45.189999,45.910000,45.910000,7895500
2019-06-24,45.639999,47.209999,45.639999,47.150002,47.150002,7299700
2019-06-25,47.070000,47.490002,45.660000,46.200001,46.200001,8688600
2019-06-26,46.360001,47.470001,46.209999,46.730000,46.730000,5328700
2019-06-27,47.090000,47.570000,46.520000,47.279999,47.279999,6918600
